Title,Date,Issues,Signatures
Formally Investigate the Transphobic Violence Leading to the Rising Death Toll of Transgender Women of Color in the U.S.,"Published Date: Aug 10, 2015","Issues: Criminal Justice and Law Enforcement, Human Rights, Women's Issues",209
Do not eliminate the Public Service Student Loan Forgiveness Program,"Published Date: Aug 06, 2015","Issues: Criminal Justice and Law Enforcement, Education, Poverty",579
Mandate paid maternity leave!,"Published Date: Aug 07, 2015","Issues: Family, Health Care, Women's Issues",789
Help Fort McClellan Veterans with their toxic exposure.,"Published Date: Aug 07, 2015","Issues: Disabilities, Health Care, Veterans and Military Families",332
Let the State of Texas freedom to be an independent state,"Published Date: Aug 08, 2015",Issues: Civil Rights and Liberties,179
"We want freedom of choice, no more monopoly for the two parties","Published Date: Aug 08, 2015",Issues: Civil Rights and Liberties,186
"Do more on Employment where 8,300,000 people have given up looking for a Job!","Published Date: Aug 08, 2015","Issues: Criminal Justice and Law Enforcement, Human Rights, Job Creation",173
"End U.S supreme court life time appointment, since the it has lost its independence","Published Date: Aug 04, 2015","Issues: Civil Rights and Liberties, Criminal Justice and Law Enforcement, Human Rights",205
Hold the EPA employees responsible for the discharge of mine waste into the Animas River in Colorado.,"Published Date: Aug 07, 2015","Issues: Criminal Justice and Law Enforcement, Environment, Rural Policy","2,649"
Recognize Hunger-Striking U.S. Resident Surat Singh Khalsa &amp; His Peaceful Struggle for Human Rights,"Published Date: Aug 08, 2015","Issues: Civil Rights and Liberties, Foreign Policy, Human Rights","4,778"
To disbar Texas Judge Randall Rogers for violating First Amendment Rights,"Published Date: Aug 07, 2015",Issues: Civil Rights and Liberties,737
Bring charges of treason upon Barack Hussein Obama,"Published Date: Aug 05, 2015","Issues: Civil Rights and Liberties, Homeland Security and Disaster Relief, Immigration","2,569"
Ban puppy mills! Declare them illegal and free the imprisoned dogs.,"Published Date: Aug 04, 2015","Issues: Consumer Protections, Environment, Government Reform",402
"WE PETITION THE OBAMA ADMINISTRATION TO:
Bring charges of treason upon Barack Hussein Obama","Published Date: Aug 05, 2015","Issues: Civil Rights and Liberties, Immigration, Poverty",413
Authorize the Department of Homeland Security to grant Temporary Protective Status (TPS) to Myanmar due to the floods.,"Published Date: Aug 03, 2015","Issues: Foreign Policy, Homeland Security and Disaster Relief, Poverty",168
Make it mandatory for any cop involved in the shooting or murder of an unarmed citizen to appear before a grand jury.,"Published Date: Jul 17, 2015","Issues: Civil Rights and Liberties, Criminal Justice and Law Enforcement",216
watch the Planned Parenthood sting videos produced by the Center for Medical Progress.,"Published Date: Aug 06, 2015","Issues: Civil Rights and Liberties, Human Rights, Women's Issues","4,037"
"Before Obama leaves his office, He’d better apologize his black people in Ferguson for calling them “criminals and thugs","Published Date: Aug 05, 2015","Issues: Civil Rights and Liberties, Human Rights",151
Keep Obama's 2007 Promise to Label GMOs,"Published Date: Aug 05, 2015","Issues: Agriculture, Consumer Protections, Health Care","2,637"
Immediately release All classified 9/11 reports,"Published Date: Aug 03, 2015","Issues: Defense, Foreign Policy, Homeland Security and Disaster Relief",217
