Name
Claudette ABELA BALDACCHINO
John Stuart AGNEW
Jan Philipp ALBRECHT
Sonia ALFANO
Francois ALFONSI
Magdi Cristiano ALLAM
Alexander ALVARO
Luis Paulo ALVES
Amelia ANDERSDOTTER
Martina ANDERSON
Marta ANDREASEN
Eric ANDRIEU
Laima Liucija ANDRIKIENU
Josefa ANDRES BAREA
Roberta ANGELILLI
Charalampos ANGOURAKIS
Antonello ANTINORO
Elena Oana ANTONESCU
Alfredo ANTONIOZZI
Pablo ARIAS ECHEVERRI
Pino ARLACCHI
Kriton ARSENIS
Richard ASHWORTH
Sir Robert ATKINS
John ATTARD-MONTALTO
Sophie AUCONIE
Jean-Pierre AUDY
Margrete AUKEN
Ines AYALA SENDER
Liam AYLWARD
Pilar AYUSO
Johannes Cornelis van BAALEN
Georges BACH
Maria BADIA i CUTCHET
Zoltan BALCZO
Raffaele BALDASSARRE
Marino BALDINI
Burkhard BALZ
Francesca BALZANI
Zigmantas BALCYTIS
Francesca BARRACCIU
Paolo BARTOLOZZI
Regina BASTOS
Gerard BATTEN
Edit BAUER
Catherine BEARDER
Heinz K. BECKER
Bastiaan BELDER
Ivo BELET
Malika BENARAB-ATTOU
Bendt BENDTSEN
Jean-Luc BENNAHMIAS
Phil BENNION
Sergio BERLATO
Luigi BERLINGUER
Thijs BERMAN
Nora BERRA
Fabrizio BERTOT
Pervenche BERES
Jean-Paul BESSET
Jean-Jacob BICEP
Adam BIELAN
Izaskun BILBAO BARANDICA
Slavi BINEV
Mara BIZZOTTO
Vilija BLINKEVICIUTE
Godfrey BLOOM
Sebastian Valentin BODU
Lajos BOKROS
Franco BONANINI
Vito BONSIGNORE
Mario BORGHEZIO
Preslav BORISSOV
Rita BORSELLINO
Piotr BORYS
Biljana BORZAN
Philippe BOULLAND
Jose BOVE
Sharon BOWLES
Emine BOZKURT
Victor BOSTINARU
Philip BRADBOURN
Arkadiusz Tomasz BRATKOWSKI
Hiltrud BREYER
Elmar BROK
Andrew Henry William BRONS
Zuzana BRZOBOHATIÅ
John BUFTON
Udo BULLMANN
Jerzy BUZEK
Zdravka BUSIC
Erik BíÅNKI
Sandrine BELIER
Reimer BOGE
Reinhard BUTIKOFER
Elena BASESCU
Jan BREZINA
Milan CABRNOCH
Alain CADEC
Martin CALLANAN
Wim van de CAMP
David CAMPBELL BANNERMAN
Antonio CANCIAN
Luis Manuel CAPOULAS SANTOS
Salvatore CARONNA
Maria Da Graca CARVALHO
David CASA
Michael CASHMAN
Carlo CASINI
Daniel CASPARY
Francoise CASTEX
Pilar del CASTILLO VERA
Jean-Marie CAVADA
Alejandro CERCAS
Jorgo CHATZIMARKAKIS
Giles CHICHESTER
Nessa CHILDERS
Nikolaos CHOUNTIS
Ole CHRISTENSEN
Nikos CHRYSOGELOS
Philip CLAEYS
Derek Roland CLARK
Minodora CLIVETI
Yves COCHET
Carlos COELHO
Sergio Gaetano COFFERATI
Daniel COHN-BENDIT
Birgit COLLIN-LANGEN
Trevor COLMAN
Lara COMI
Anna Maria CORAZZA BILDT
Marije CORNELISSEN
Maria Auxiliadora CORREA ZAMORA
Antonio Fernando CORREIA DE CAMPOS
Ricardo CORTES LASTRA
Silvia COSTA
Emer COSTELLO
Jean Louis COTTIGNY
Andrea COZZOLINO
Michael CRAMER
Jurgen CREUTZMANN
Corina CRETU
Tarja CRONBERG
Brian CROWLEY
Joseph CUSCHIERI
George Sabin CUTAS
Tadeusz CYMANSKI
Ryszard CZARNECKI
Frederic DAERDEN
Peter van DALEN
Spyros DANELLIS
Arnaud DANJEAN
Michel DANTIN
William (The Earl of) DARTMOUTH
Rachida DATI
Joseph DAUL
Míçrio DAVID
Chris DAVIES
Francesco DE ANGELIS
Philippe DE BACKER
Paolo DE CASTRO
Ví©ronique DE KEYSER
Susy DE MARTINI
Luigi Ciriaco DE MITA
Christine DE VEYRAC
Jean-Luc DEHAENE
Karima DELLI
Anne DELVAUX
Mark DEMESMAEKER
Albert DESS
Tamíçs DEUTSCH
Nirj DEVA
Diane DODDS
Leonardo DOMENICI
Leonidas DONSKIS
Herbert DORFMANN
Dimitrios DROUTSAS
Andrew DUFF
Isabelle DURANT
Robert DUSEK
Harlem DESIR
Agustin DIAZ DE MERA GARCIA CONSUEGRA
Vasilica Viorica DANCILA
Christian EHLER
Martin EHRENHAUSER
Bas EICKHOUT
Said EL KHADRAOUI
James ELLES
Ioan ENCIU
Frank ENGEL
Christian ENGSTROM
Derk Jan EPPINK
Cornelia ERNST
Ismail ERTUG
Sari ESSAYAH
Rosa ESTARAS FERRAGUT
Edite ESTRELA
Jill EVANS
Hynek FAJMON
Tanja FAJON
Richard FALBR
Nigel FARAGE
Diogo FEIO
Markus FERBER
Jose Manuel FERNANDES
Elisa FERREIRA
Joao FERREIRA
Carlo FIDANZA
Santiago FISAS AYXELA
Christofer FJELLNER
VÛ_ra FLASAROVíÅ
Helene FLAUTRE
Monika FLAÅæíçKOVíÅ BEÅˆOVíÅ
Knut FLECKENSTEIN
Karl-Heinz FLORENZ
Lorenzo FONTANA
Vicky FORD
Jacqueline FOSTER
Ashley FOX
Carmen FRAGA ESTEVEZ
Gaston FRANCO
Franco FRIGO
Goran FARM
Mariya GABRIEL
Michael GAHLER
Pat the Cope GALLAGHER
Marielle GALLO
Vicente Miguel GARCí_S RAMíñN
Iratxe GARCIA PEREZ
Dolores GARCIA-HIERRO CARABALLO
Eider GARDIAZABAL RUBIAL
Elisabetta GARDINI
Giuseppe GARGANI
Salvador GARRIGA POLLEDO
Jean-Paul GAUZES
Evelyne GEBHARDT
Jens GEIER
Gerben-Jan GERBRANDY
Lidia Joanna GERINGER de OEDENBERG
Marietta GIANNAKOU
Sven GIEGOLD
Adam GIEREK
Julie GIRLING
Norbert GLANTE
Bela GLATTFELDER
Ivars GODMANIS
Robert GOEBBELS
Charles GOERENS
Bruno GOLLNISCH
Ana GOMES
Sylvie GOULARD
Luis de GRANDES PASCUAL
Nathalie GRIESBECK
Nick GRIFFIN
Matthias GROOTE
Mathieu GROSCH
Francoise GROSSETETE
Andrzej GRZYB
Ingeborg GRASSLE
Catherine GREZE
Marek Jozef GROBARCZYK
Roberto GUALTIERI
Enrique GUERRERO SALOM
Sylvie GUILLAUME
Zita GURMAI
Mikael GUSTAFSSON
Sergio GUTIERREZ PRIETO
Cristina GUTIERREZ-CORTINES
Andras GYURK
Kinga GAL
Ildiko Pelczne GALL
Kinga GONCZ
Takis HADJIGEORGIOU
Fiona HALL
Ma_gorzata HANDZLIK
Agnes HANKISS
Daniel HANNAN
Malcolm HARBOUR
Marian HARKIN
Rebecca HARMS
Lucas HARTONG
Satu HASSI
Jutta HAUG
Anna HEDH
Eduard-Raul HELLVIG
Roger HELMER
Edit HERCZOG
Esther Herranz GARCIA
Jolanta Emilia HIBNER
Jim HIGGINS
Nadja HIRSCH
Liem HOANG NGOC
Monika HOHLMEIER
Mary HONEYBALL
Brice HORTEFEUX
Richard HOWITT
Ian HUDGHTON
Stephen HUGHES
Filiz Hakaeva HYUSMENOVA
Gerald HAFNER
Thomas HANDEL
Martin HAUSLING
Jacky HENIN
Gunnar HOKMARK
Danuta Maria HUBNER
Salvatore IACOLINO
Anna IBRISAGIC
Stanimir ILCHEV
Juozas IMBRASAS
Iliana Malinova IOTOVA
Vincenzo IOVINE
Ií±aki IRAZABALBEITIA FERNíÅNDEZ
 Maria IRIGOYEN PEREZ
Carlos Jose ITURGAIZ ANGULO
Catalin Sorin IVAN
Laurence J.A.J. STASSEN
Liisa JAAKONSAARI
Yannick JADOT
Peter JAHR
Danuta  JAZLOWIECKA
Elisabeth JEGGLE
Anne E. JENSEN
Teresa JIMENEZ-BECERRIL BARRIO
Kent JOHANSSON
Eva JOLY
Cornelis de JONG
Romana JORDAN
Philippe JUVIN
Lí_via JíÅRíñKA
Anneli JAATTEENMAKI
Sidonia JEDRZEJEWSKA
Jelko KACIN
Filip KACZMAREK
Karin KADENBACH
Ivailo KALFIN
Jaroslaw KALINOWSKI
Sandra KALNIETE
Syed KAMALL
Michal Tomasz KAMINSKI
Patricia van der KAMMEN
Petra KAMMEREVERT
Othmar KARAS
Sajjad KARIM
Arturs Krisjanis KARINS
Martin KASTLER
Metin KAZAK
Tunne KELAM
Franziska KELLER
Sean KELLY
Nicole KIIL-NIELSEN
Evgeni KIRILOV
Timothy KIRKHOPE
Christa KLASS
Mojca KLEVA KEKUS
Wolf KLINZ
Jurgen KLUTE
Dieter-Lebrecht KOCH
Silvana KOCH-MEHRIN
Jaromor KOHLICEK
Maria Eleni KOPPA
Eija-Riitta KORHOLA
Georgios KOUMOUTSAKOS
Andrey KOVATCHEV
Bela KOVACS
Pawel Robert KOWAL
Sergej KOZLIK
Jan KOZLOWSKI
Edvard KOZUSNIK
Holger KRAHMER
Rodi KRATSA-TSAGAROPOULOU
Constanze Angela KREHL
Wolfgang KREISSL-DORFLER
Werner KUHN
Eduard KUKAN
Jacek Olgierd KURSKI
íÅdíçm KíñSA
Elisabeth Kí_STINGER
Giovanni LA VIA
Alain LAMASSOURE
Jean LAMBERT
Philippe LAMBERTS
Alexander Graf LAMBSDORFF
Vytautas LANDSBERGIS
Bernd LANGE
Esther de LANGE
Werner LANGEN
Claus LARSEN-JENSEN
AgníÂs LE BRUN
Constance LE GRIP
Patrick LE HYARIC
Jean-Marie LE PEN
Marine LE PEN
Ryszard Antoni LEGUTKO
Klaus-Heiner LEHNE
Jí_rg LEICHTFRIED
Jo LEINEN
Corinne LEPAGE
BogusÅ‰aw LIBERADZKI
Eva LICHTENBERGER
Peter LIESE
Kartika Tamara LIOTARD
Krzysztof LISEK
Barbara LOCHBIHLER
Verí_nica LOPE FONTAGNí_
Baroness Sarah LUDFORD
Olle LUDVIGSSON
Petru Constantin LUHAN
Astrid LULLING
Ulrike LUNACEK
George LYON
Marusya LYUBCHEVA
Juan Fernando LíñPEZ AGUILAR
Antonio LíñPEZ-ISTí_RIZ WHITE
Sabine Lí_SING
Isabella Lí_VIN
Morten LíÖKKEGAARD
Monica Luisa MACOVEI
Ivana MALETIÛÊ
