Date,Catch the Eye,Content
"
Thursday, 17 April 2014 - Strasbourg", Spyros Danellis,"



 4. Shipments of waste ***I (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council amending Regulation (EC) No 1013/2006 on shipment of waste [COM(2013)0516 - C7-0217/2013- 2013/0239(COD)] - Committee on the Environment, Public Health and Food Safety. Rapporteur: Bart Staes (A7-0069/2014)
Bart Staes introduced the report.
The following spoke: Janez Potočnik (Member of the Commission).
The following spoke: Karl-Heinz Florenz, on behalf of the PPE Group, Marusya Lyubcheva, on behalf of the S&D Group, Gerben-Jan Gerbrandy, on behalf of the ALDE Group, Anna Rosbach, on behalf of the ECR Group, Sabine Wils, on behalf of the GUE/NGL Group, Jaroslav Paška, on behalf of the EFD Group, Judith A. Merkies and Åsa Westlund.
The following spoke under the 'catch-the-eye' procedure: Spyros Danellis.
The following spoke: Janez Potočnik and Bart Staes.
The debate closed.
Vote: minutes of 17.4.2014, item 9.8.

Last updated: 3 June 2014Legal notice"
"
Thursday, 17 April 2014 - Strasbourg", Olga Sehnalová,"



 5. Conditions to be complied with to pursue the occupation of road transport operator (Regulation (EC) No 1071/2009) (debate) CRE
Question for oral answer (O-000032/2014) by Brian Simpson, on behalf of the TRAN Committee, to the Commission: Enforcement of Regulation (EC) No 1071/2009 (2014/2700(RSP)) (B7-0113/2014)
Brian Simpson moved the question.
Janez Potočnik (Member of the Commission) answered the question.
The following spoke: Mathieu Grosch, on behalf of the PPE Group, Saïd El Khadraoui, on behalf of the S&D Group, Gesine Meissner, on behalf of the ALDE Group, Eva Lichtenberger, on behalf of the Verts/ALE Group, Silvia-Adriana Ţicău and Philippe De Backer, who also replied to a blue-card question by Silvia-Adriana Ţicău.
The following spoke under the 'catch-the-eye' procedure: Olga Sehnalová.
The following spoke: Janez Potočnik.
The debate closed.

Last updated: 3 June 2014Legal notice"
"
Thursday, 17 April 2014 - Strasbourg", Andrew Henry William Brons,"



 6. Prolongation of detention by Member States of illegally staying third-country nationals beyond the 18-month time limit in violation of the Return Directive (debate) CRE
Commission statement: Prolongation of detention by Member States of illegally staying third-country nationals beyond the 18-month time limit in violation of the Return Directive (2014/2701(RSP))
Janez Potočnik (Member of the Commission) made the statement.
The following spoke: Hubert Pirker, on behalf of the PPE Group, Cecilia Wikström, on behalf of the ALDE Group, Franziska Keller, on behalf of the Verts/ALE Group, Nikolaos Chountis, on behalf of the GUE/NGL Group, Mario Borghezio, Non-attached Member, who also replied to a blue-card question by Cecilia Wikström, Georgios Papanikolaou, Jean Lambert who also replied to a blue-card question by Georgios Papanikolaou, Marie-Christine Vergiat, Philip Claeys, Seán Kelly and Hélène Flautre.
The following spoke under the 'catch-the-eye' procedure: Andrew Henry William Brons.
The following spoke: Janez Potočnik. 
IN THE CHAIR: Othmar KARASVice-President
The debate closed.

Last updated: 3 June 2014Legal notice"
"
Thursday, 17 April 2014 - Strasbourg",NA,"



 7. EU-Vietnam Free Trade Agreement negotiations (debate) CRE
Commission statement: EU-Vietnam Free Trade Agreement negotiations (2013/2989(RSP))
Joaquín Almunia (Vice-President of the Commission) made the statement.
The following spoke: Daniel Caspary, on behalf of the PPE Group, Bernd Lange, on behalf of the S&D Group, Niccolò Rinaldi, on behalf of the ALDE Group, Jan Zahradil, on behalf of the ECR Group, Paul Murphy, on behalf of the GUE/NGL Group, Bastiaan Belder, on behalf of the EFD Group, Franck Proust, David Martin, Adam Bielan, Werner Langen, Maria Badia i Cutchet and Seán Kelly.
The following spoke: Joaquín Almunia (Member of the Commission).
The motion for a resolution to be tabled under Rule 110(2) would be announced in the House at the end of the debate.
- Vital Moreira and Jan Zahradil, on behalf of the INTA Committee, on the state of play of the EU-Vietnam Free Trade Agreement (2013/2989(RSP)) (B7-0367/2014)
The debate closed.
Vote: minutes of 17.4.2014, item 9.14.

Last updated: 3 June 2014Legal notice"
"
Thursday, 17 April 2014 - Strasbourg",NA,"



 13. Debate on cases of breaches of human rights, democracy and the rule of law (debate)
(For the titles and authors of the motions for resolutions, see minutes of 15.4.2014, item 5.)

Last updated: 3 June 2014Legal notice"
"
Wednesday, 16 April 2014 - Strasbourg",NA,"



 4. 100 years on from the First World War: lessons to learn and future of Europe (debate) CRE
Council and Commission statements: 100 years on from the First World War: lessons to learn and future of Europe (2014/2670(RSP))
The President made an opening statement.
Evangelos Venizelos (President-in-Office of the Council) and José Manuel Barroso (President of the Commission) made the statements.
The following spoke: Joseph Daul, on behalf of the PPE Group, Hannes Swoboda, on behalf of the S&D Group, Guy Verhofstadt, on behalf of the ALDE Group, Daniel Cohn-Bendit, on behalf of the Verts/ALE Group, Martin Callanan, on behalf of the ECR Group, Gabriele Zimmer, on behalf of the GUE/NGL Group, Nigel Farage, on behalf of the EFD Group, and Daniël van der Stoep, Non-attached Member.
The debate closed.
IN THE CHAIR: Miguel Angel MARTÍNEZ MARTÍNEZVice-President

Last updated: 10 July 2014Legal notice"
"
Wednesday, 16 April 2014 - Strasbourg"," Andrey Kovatchev, Victor Boştinaru, Ruža Tomašić, Mark Demesmaeker and Krisztina Morvai","



 5. Russian pressure on Eastern Partnership countries and in particular destabilisation of eastern Ukraine (debate)CRE
Statement by the Vice-President of the Commission and High Representative of the Union for Foreign Affairs and Security Policy: Russian pressure on Eastern Partnership countries and in particular destabilisation of eastern Ukraine (2014/2699(RSP))
Štefan Füle made the statement on behalf of Catherine Ashton (Vice-President of the Commission and High Representative of the Union for Foreign Affairs and Security Policy).
IN THE CHAIR: László SURJÁNVice-President
The following spoke: José Ignacio Salafranca Sánchez-Neyra, on behalf of the PPE Group, Libor Rouček, on behalf of the S&D Group, Johannes Cornelis van Baalen, on behalf of the ALDE Group, Rebecca Harms, on behalf of the Verts/ALE Group, Charles Tannock, on behalf of the ECR Group, Helmut Scholz, on behalf of the GUE/NGL Group, Adrian Severin, Non-attached Member, Elmar Brok, who also replied to a blue-card question by Paweł Robert Kowal, Knut Fleckenstein, Annemie Neyts-Uyttebroeck, Paweł Robert Kowal, Nikola Vuljanić, Rolandas Paksas, Andrew Henry William Brons, who also replied to a blue-card question by Bernd Posselt, Jacek Saryusz-Wolski, Marek Siwiec, Gerben-Jan Gerbrandy, Roberts Zīle, Willy Meyer, who also replied to a blue-card question by Charles Tannock, Hans-Gert Pöttering, Tonino Picula, Alexander Graf Lambsdorff, Adam Bielan, Arnaud Danjean, Ioan Mircea Paşcu, Adina-Ioana Vălean, Marian-Jean Marinescu, Marusya Lyubcheva, who also replied to a blue-card question by Michael Gahler, Andrzej Grzyb, Iliana Malinova Iotova, Ria Oomen-Ruijten, Richard Howitt, Francisco José Millán Mon, who also replied to a blue-card question by Zbigniew Zaleski, Monica Luisa Macovei, Boris Zala, Cristian Dan Preda, Pino Arlacchi, Krzysztof Lisek, Anna Ibrisagic, Tunne Kelam, Jacek Protasiewicz, Vytautas Landsbergis, Paweł Zalewski, Elisabeth Jeggle and Zbigniew Ziobro.
The following spoke under the 'catch-the-eye' procedure: Andrey Kovatchev, Victor Boştinaru, Ruža Tomašić, Mark Demesmaeker and Krisztina Morvai.
The following spoke: Štefan Füle.
The motions for resolutions to be tabled under Rule 110(2) would be announced in the House at a later time.
The debate closed.
Vote: minutes of 17.4.2014, item 9.13.

Last updated: 10 July 2014Legal notice"
"
Wednesday, 16 April 2014 - Strasbourg",NA,"



 11. System of own resources * - Implementing measures for the system of own resources - Implementing measures for the system of own resources *** - Traditional, VAT- and GNI based own resources and measures to meet cash requirements * (debate)CRE
Report on the draft Council decision on the system of own resources of the European Union [05602/2014 - C7-0036/2014 - 2011/0183(CNS)] - Committee on Budgets. Rapporteurs: Anne E. Jensen and  Jean-Luc Dehaene (A7-0271/2014)
Report on implementing measures for the system of own resources of the European Union [2014/2020(INI)] - Committee on Budgets. Rapporteurs: Anne E. Jensen and  Jean-Luc Dehaene (A7-0270/2014)
Recommendation on the draft Council regulation (EU, Euratom) laying down implementing measures for the system of own resources of the European Union [05600/2014 - C7-0047/2014 - 2011/0184(APP)] - Committee on Budgets. Rapporteurs: Anne E. Jensen and  Jean-Luc Dehaene (A7-0269/2014)
Report on the draft Council regulation on the methods and procedure for making available the traditional, VAT and GNI-based own resources and on the measures to meet cash requirements (recast) [05603/2014 - C7-0037/2014 - 2011/0185(CNS)] - Committee on Budgets. Rapporteurs: Anne E. Jensen and  Jean-Luc Dehaene (A7-0268/2014)
Alain Lamassoure (deputising for the rapporteur) and Anne E. Jensen presented their reports.
The following spoke: Dimitrios Kourkoulas (President-in-Office of the Council) and Janusz Lewandowski (Member of the Commission).
The following spoke: Salvador Garriga Polledo, on behalf of the PPE Group, Jutta Haug, on behalf of the S&D Group, Jan Mulder, on behalf of the ALDE Group, Isabelle Durant, on behalf of the Verts/ALE Group, Richard Ashworth, on behalf of the ECR Group, Jürgen Klute, on behalf of the GUE/NGL Group, Claudio Morganti, on behalf of the EFD Group, Lucas Hartong, Non-attached Member, Ingeborg Gräßle, Ivailo Kalfin, Gerben-Jan Gerbrandy, François Alfonsi, Peter van Dalen, Věra Flasarová, Jaroslav Paška, Angelika Werthmann, Sidonia Elżbieta Jędrzejewska, William (The Earl of) Dartmouth, Andrew Henry William Brons and Andrej Plenković.
The following spoke: Janusz Lewandowski, Dimitrios Kourkoulas, Alain Lamassoure and Anne E. Jensen.
The debate closed.
Vote: minutes of 16.4.2014, item 14.2,, minutes of 16.4.2014, item 14.4 and minutes of 16.4.2014, item 14.3.

Last updated: 10 July 2014Legal notice"
"
Wednesday, 16 April 2014 - Strasbourg", Nikola Vuljanić,"



 12. European Union Solidarity Fund ***I (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council amending Council Regulation (EC) No 2012/2002 establishing the European Union Solidarity Fund [COM(2013)0522 - C7-0231/2013 - 2013/0248(COD)] - Committee on Regional Development. Rapporteur: Rosa Estaràs Ferragut (A7-0078/2014)
Rosa Estaràs Ferragut introduced the report.
The following spoke: Janusz Lewandowski (Member of the Commission).
IN THE CHAIR: Anni PODIMATAVice-President
The following spoke: Georgios Stavrakakis (rapporteur for the opinion of the BUDG Committee), Nuno Teixeira, on behalf of the PPE Group, Kerstin Westphal, on behalf of the S&D Group, Michael Theurer, on behalf of the ALDE Group, who also replied to a blue-card question by William (The Earl of) Dartmouth, Elisabeth Schroedter, on behalf of the Verts/ALE Group, Adam Bielan, on behalf of the ECR Group, Younous Omarjee, on behalf of the GUE/NGL Group, William (The Earl of) Dartmouth, on behalf of the EFD Group, Joachim Zeller, María Irigoyen Pérez, Ruža Tomašić and Marie-Thérèse Sanchez-Schmid.
The following spoke under the 'catch-the-eye' procedure: Nikola Vuljanić.
The following spoke: Janusz Lewandowski and Rosa Estaràs Ferragut.
The debate closed.
Vote: minutes of 16.4.2014, item 14.6.

Last updated: 10 July 2014Legal notice"
"
Wednesday, 16 April 2014 - Strasbourg",NA,"



 13. Alarming shortage of payments for financing EU external aid (debate) CRE
Question for oral answer (O-000050/2014) by Alain Lamassoure, on behalf of the BUDG Committee, to the Council: Alarming shortage of payments for financing EU external aid (2014/2697(RSP)) (B7-0114/2014)
Question for oral answer (O-000051/2014) by Alain Lamassoure, on behalf of the BUDG Committee, to the Commission: Alarming shortage of payments for financing EU external aid (2014/2697(RSP)) (B7-0115/2014)
Question for oral answer (O-000053/2014) by Eva Joly, on behalf of the DEVE Committee, to the Council: Alarming shortage of payments for financing EU external aid (2014/2697(RSP)) (B7-0116/2014)
Question for oral answer (O-000054/2014) by Eva Joly, on behalf of the DEVE Committee, to the Commission: Alarming shortage of payments for financing EU external aid (2014/2697(RSP)) (B7-0117/2014)
Eva Joly and Alain Lamassoure moved the questions.
Dimitrios Kourkoulas (President-in-Office of the Council) and Janusz Lewandowski (Member of the Commission) answered the questions.
The following spoke: Cristian Dan Preda, on behalf of the PPE Group, Göran Färm, on behalf of the S&D Group, Charles Goerens, on behalf of the ALDE Group, Reinhard Bütikofer, on behalf of the Verts/ALE Group, Alda Sousa, on behalf of the GUE/NGL Group, Ricardo Cortés Lastra and Michael Cashman.
The following spoke: Janusz Lewandowski and Dimitrios Kourkoulas.
The debate closed.
(The sitting was suspended at 17.35 pending voting time and resumed at 18.00.) 

Last updated: 10 July 2014Legal notice"
